Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 151.463845001355480, index i: 1, index j: 5, accumulated_mean: 30.971108673704354  
 population_value: 151.463845001355480, index i: 1, index j: 6, accumulated_mean: 30.971104490965562  
 population_value: 118.662757548832630, index i: 1, index j: 7, accumulated_mean: 30.970477233811682  
 population_value: 150.499107135104790, index i: 1, index j: 8, accumulated_mean: 30.970469830718116  
 population_value: 151.463845001355480, index i: 1, index j: 9, accumulated_mean: 30.970465648122971  
 population_value: 154.358058600107480, index i: 1, index j: 10, accumulated_mean: 30.970465647790263  
 population_value: 151.463845001355480, index i: 1, index j: 11, accumulated_mean: 30.970461465196056  
 population_value: 160.146485797611520, index i: 1, index j: 12, accumulated_mean: 30.970445189263376  
 population_value: 156.287534332608830, index i: 1, index j: 13, accumulated_mean: 30.970443412906189  
 population_value: 151.463845001355480, index i: 1, index j: 14, accumulated_mean: 30.970439230316988  
 population_value: 118.662757548832630, index i: 1, index j: 15, accumulated_mean: 30.969811995575810  
 population_value: 118.662757548832630, index i: 1, index j: 16, accumulated_mean: 30.969184781964731  
 population_value: 150.499107135104790, index i: 1, index j: 17, accumulated_mean: 30.969177379385521  
 population_value: 113.839068217579270, index i: 1, index j: 18, accumulated_mean: 30.968369098643514  
 population_value: 118.662757548832630, index i: 1, index j: 19, accumulated_mean: 30.967741933635846  
 population_value: 152.428582867606140, index i: 1, index j: 20, accumulated_mean: 30.967740058486068  
 population_value: 118.662757548832630, index i: 1, index j: 21, accumulated_mean: 30.967112914668434  
 population_value: 151.463845001355480, index i: 1, index j: 22, accumulated_mean: 30.967108732828034  
 population_value: 151.463845001355480, index i: 1, index j: 23, accumulated_mean: 30.967104550988577  
 population_value: 151.463845001355480, index i: 1, index j: 24, accumulated_mean: 30.967100369150060  
 population_value: 151.463845001355480, index i: 1, index j: 25, accumulated_mean: 30.967096187312482  
 population_value: 150.499107135104790, index i: 1, index j: 26, accumulated_mean: 30.967088785564378  
 population_value: 112.874330351328600, index i: 1, index j: 27, accumulated_mean: 30.966241622130099  
 population_value: 131.204349810091370, index i: 1, index j: 28, accumulated_mean: 30.965977792252751  
 population_value: 151.463845001355480, index i: 1, index j: 29, accumulated_mean: 30.965973610667554  
 population_value: 155.322796466358140, index i: 1, index j: 30, accumulated_mean: 30.965973178724713  
 population_value: 151.463845001355480, index i: 1, index j: 31, accumulated_mean: 30.965968997140553  
 population_value: 155.322796466358140, index i: 1, index j: 32, accumulated_mean: 30.965968565197826  
 population_value: 150.499107135104790, index i: 1, index j: 33, accumulated_mean: 30.965961163898420  
 population_value: 154.358058600107480, index i: 1, index j: 34, accumulated_mean: 30.965961163565790  
 population_value: 151.463845001355480, index i: 1, index j: 35, accumulated_mean: 30.965956981984334  
 population_value: 126.380660478838000, index i: 1, index j: 36, accumulated_mean: 30.965571800679122  
 population_value: 151.463845001355480, index i: 1, index j: 37, accumulated_mean: 30.965567619185226  
 population_value: 151.463845001355480, index i: 1, index j: 38, accumulated_mean: 30.965563437692264  
 population_value: 151.463845001355480, index i: 1, index j: 39, accumulated_mean: 30.965559256200248  
 population_value: 151.463845001355480, index i: 1, index j: 40, accumulated_mean: 30.965555074709172  
 population_value: 150.499107135104790, index i: 1, index j: 41, accumulated_mean: 30.965547673574346  
 population_value: 113.839068217579270, index i: 1, index j: 42, accumulated_mean: 30.964739550382749  
 population_value: 150.499107135104790, index i: 1, index j: 43, accumulated_mean: 30.964732149572392  
 population_value: 158.217010065110170, index i: 1, index j: 44, accumulated_mean: 30.964724949745712  
 population_value: 151.463845001355480, index i: 1, index j: 45, accumulated_mean: 30.964720768442188  
 population_value: 151.463845001355480, index i: 1, index j: 46, accumulated_mean: 30.964716587139602  
 population_value: 151.463845001355480, index i: 1, index j: 47, accumulated_mean: 30.964712405837957  
 population_value: 156.287534332608830, index i: 1, index j: 48, accumulated_mean: 30.964710630028240  
 population_value: 119.627495415083300, index i: 1, index j: 49, accumulated_mean: 30.964117039158065  
 population_value: 150.499107135104790, index i: 1, index j: 50, accumulated_mean: 30.964109638595431  
 population_value: 151.463845001355480, index i: 1, index j: 51, accumulated_mean: 30.964105457430247  
 population_value: 134.098563408843380, index i: 1, index j: 52, accumulated_mean: 30.963903460904106  
 population_value: 150.499107135104790, index i: 1, index j: 53, accumulated_mean: 30.963896060426489  
 population_value: 151.463845001355480, index i: 1, index j: 54, accumulated_mean: 30.963891879309340  
 population_value: 151.463845001355480, index i: 1, index j: 55, accumulated_mean: 30.963887698193137  
 population_value: 124.451184746336660, index i: 1, index j: 56, accumulated_mean: 30.963447600435693  
 population_value: 156.287534332608830, index i: 1, index j: 57, accumulated_mean: 30.963445824746774  
 population_value: 151.463845001355480, index i: 1, index j: 58, accumulated_mean: 30.963441643730860  
 population_value: 151.463845001355480, index i: 1, index j: 59, accumulated_mean: 30.963437462715888  
 population_value: 132.169087676342030, index i: 1, index j: 60, accumulated_mean: 30.963195189402665  
 population_value: 151.463845001355480, index i: 1, index j: 61, accumulated_mean: 30.963191008443122  
 population_value: 118.662757548832630, index i: 1, index j: 62, accumulated_mean: 30.962564017867976  
 population_value: 118.662757548832630, index i: 1, index j: 63, accumulated_mean: 30.961937048411421  
 population_value: 118.662757548832630, index i: 1, index j: 64, accumulated_mean: 30.961310100072456  
 population_value: 151.463845001355480, index i: 1, index j: 65, accumulated_mean: 30.961305919536692  
 population_value: 156.287534332608830, index i: 1, index j: 66, accumulated_mean: 30.961304144052288  
 population_value: 150.499107135104790, index i: 1, index j: 67, accumulated_mean: 30.961296744609005  
 population_value: 126.380660478838000, index i: 1, index j: 68, accumulated_mean: 30.960911659749545  
 population_value: 113.839068217579270, index i: 1, index j: 69, accumulated_mean: 30.960103737784063  
 population_value: 150.499107135104790, index i: 1, index j: 70, accumulated_mean: 30.960096338818385  
 population_value: 151.463845001355480, index i: 1, index j: 71, accumulated_mean: 30.960092158555476  
 population_value: 151.463845001355480, index i: 1, index j: 72, accumulated_mean: 30.960087978293501  
 population_value: 119.627495415083300, index i: 1, index j: 73, accumulated_mean: 30.959494534831368  
 population_value: 158.217010065110170, index i: 1, index j: 74, accumulated_mean: 30.959487337032648  
 population_value: 151.463845001355480, index i: 1, index j: 75, accumulated_mean: 30.959483156906643  
 population_value: 133.133825542592720, index i: 1, index j: 76, accumulated_mean: 30.959261530924230  
 population_value: 150.499107135104790, index i: 1, index j: 77, accumulated_mean: 30.959254132293694  
 population_value: 153.393320733856830, index i: 1, index j: 78, accumulated_mean: 30.959253651186021  
 population_value: 119.627495415083300, index i: 1, index j: 79, accumulated_mean: 30.958660234329702  
 population_value: 151.463845001355480, index i: 1, index j: 80, accumulated_mean: 30.958656054389650  
 population_value: 151.463845001355480, index i: 1, index j: 81, accumulated_mean: 30.958651874450531  
 population_value: 156.287534332608830, index i: 1, index j: 82, accumulated_mean: 30.958650099219561  
 population_value: 152.428582867606140, index i: 1, index j: 83, accumulated_mean: 30.958648224986337  
