Computation of population skweness started
Started writing results to file: sin_function_timing2.csv
average: 192.589478668744790
 population_value: 189.654068562965760, index i: 3, index j: 31  
 population_value: 188.446080865112460, index i: 3, index j: 32  
 population_value: 198.109982447938760, index i: 3, index j: 33  
 population_value: 189.654068562965760, index i: 3, index j: 34  
 population_value: 149.790474533807360, index i: 3, index j: 35  
 population_value: 194.486019354378900, index i: 3, index j: 36  
 population_value: 189.654068562965760, index i: 3, index j: 37  
 population_value: 148.582486835954060, index i: 3, index j: 38  
 population_value: 193.278031656525630, index i: 3, index j: 39  
 population_value: 189.654068562965760, index i: 3, index j: 40  
 population_value: 189.654068562965760, index i: 3, index j: 41  
 population_value: 189.654068562965760, index i: 3, index j: 42  
 population_value: 188.446080865112460, index i: 3, index j: 43  
 population_value: 190.862056260819060, index i: 3, index j: 44  
 population_value: 187.238093167259190, index i: 3, index j: 45  
 population_value: 190.862056260819060, index i: 3, index j: 46  
 population_value: 189.654068562965760, index i: 3, index j: 47  
 population_value: 188.446080865112460, index i: 3, index j: 48  
 population_value: 149.790474533807360, index i: 3, index j: 49  
 population_value: 188.446080865112460, index i: 3, index j: 50  
 population_value: 188.446080865112460, index i: 3, index j: 51  
 population_value: 189.654068562965760, index i: 3, index j: 52  
 population_value: 188.446080865112460, index i: 3, index j: 53  
 population_value: 188.446080865112460, index i: 3, index j: 54  
 population_value: 189.654068562965760, index i: 3, index j: 55  
 population_value: 189.654068562965760, index i: 3, index j: 56  
 population_value: 149.790474533807360, index i: 3, index j: 57  
 population_value: 188.446080865112460, index i: 3, index j: 58  
 population_value: 188.446080865112460, index i: 3, index j: 59  
 population_value: 189.654068562965760, index i: 3, index j: 60  
 population_value: 149.790474533807360, index i: 3, index j: 61  
 population_value: 148.582486835954060, index i: 3, index j: 62  
 population_value: 189.654068562965760, index i: 3, index j: 63  
 population_value: 188.446080865112460, index i: 3, index j: 64  
 population_value: 189.654068562965760, index i: 3, index j: 65  
 population_value: 188.446080865112460, index i: 3, index j: 66  
 population_value: 188.446080865112460, index i: 3, index j: 67  
 population_value: 149.790474533807360, index i: 3, index j: 68  
 population_value: 189.654068562965760, index i: 3, index j: 69  
 population_value: 149.790474533807360, index i: 3, index j: 70  
 population_value: 148.582486835954060, index i: 3, index j: 71  
 population_value: 148.582486835954060, index i: 3, index j: 72  
 population_value: 188.446080865112460, index i: 3, index j: 73  
 population_value: 190.862056260819060, index i: 3, index j: 74  
 population_value: 189.654068562965760, index i: 3, index j: 75  
 population_value: 190.862056260819060, index i: 3, index j: 76  
 population_value: 189.654068562965760, index i: 3, index j: 77  
 population_value: 189.654068562965760, index i: 3, index j: 78  
 population_value: 189.654068562965760, index i: 3, index j: 79  
 population_value: 188.446080865112460, index i: 3, index j: 80  
 population_value: 148.582486835954060, index i: 3, index j: 81  
 population_value: 189.654068562965760, index i: 3, index j: 82  
 population_value: 149.790474533807360, index i: 3, index j: 83  
 population_value: 188.446080865112460, index i: 3, index j: 84  
 population_value: 188.446080865112460, index i: 3, index j: 85  
 population_value: 148.582486835954060, index i: 3, index j: 86  
 population_value: 189.654068562965760, index i: 3, index j: 87  
